text,label,five_folds,ten_folds,train_test_split
Ich fordere alle Bürger auf alles was Migranten dazu verleiten könnte nach Deutschland zu kommen zu boykotieren!,1.0,0,0,0
"Da scheint letztendlich der Druck der über eine AFD ausgeübt wurde endlich einige aus ihrem Dornröschenschlaf geweckt zu haben.  Das wurde auch endlich einmal Zeit, denn vor lauter politischem ""die Welt schön reden"" wurde diese in der Realität immer düsterer.",0.0,0,0,0
"Frechheit! Christliche Kreuze werden abgehängt aber lautstarker Islam ist erlaubt! Man muss davon ausgehen... es gibt längst die Unterwanderung unserer Politik/er! Bald haben wir sie.. die islamregierte Welt.  Wir merken immer alles erst, wenn es längst zu spät ist!",1.0,0,0,0
"Beratung brauchen nur die Dummen nicht, denn die wissen immer alles besser.",0.0,0,0,0
"Gibt es Christenverfolgung??? Der Pfarrer, seine beiden Kinder und drei Besucher des Gottesdienstes seien Zeugen zufolge erschossen worden. Hinter der Tat werden Islamisten vermutet.  https://rp-online.de/panorama/ausland/burkina-faso-sechs-menschen-sterben-bei-anschlag-auf-evangelische-kirche_aid-38462901",1.0,0,0,0
Dabei sei erneut ein Film von außen in ihr Netzwerk eingespeist worden.Und eine beleidigende Mail hätte sie auch bekommen.Wiso erneut ein Film von außen beim ersten mal hat es sich doch nach der Überprüfung um eine falsche Behauptung heraus gestellt.Man sollte die technischen Geräte im Haus beherrschen aber eben wichtige Politiker,0.0,0,0,0
"Schon Ludwig Wilhelm von Baden-Baden, genannt der Türkenlouis, zeigte den Türken, wo sie hingehören.",1.0,0,0,0
"Immer diese Volksbelustigungen.  Wenn schon autofrei, dann bitte an 365 Tagen im Jahr.  Wahrscheinlich strömen dann Hunderttausende aus dem Umland Richtung Düsseldorf, um des Events willens. Hat der OB schon Greta eingeladen? Muss man solche Aktionen ernst nehmen? Nein, muss man nicht. ",0.0,0,0,0
"viviabce : fahren sie mal mit ihrem fahrrad nach köln oder duisburg oder essen und öffnen sie ihre äugelein und sie werden vieleicht sehen , dass die fetten prolligen audi - bmw - mercedes - karossen von türken und co kg gmbh gefahren werden  .",1.0,0,0,0
Mich würden genauere Angaben zu dem Täter interessieren. Aber die bekommt mal wahrscheinlich nicht.,0.0,0,0,0
"So sieht es also aus, wenn Ausländerhasser einen ihrer Gurus wörtlich nehmen. A. Gauland: ""Wir werden sie Jagen.""  aber ... m8 nix!",1.0,0,0,0
Am Strukturwandel im Ruhrgebiet hat die SPD doch schon Jahrzehnte gearbeitet und Milliarden ausgegeben. Anscheinend ohne Erfolg,0.0,0,0,0
"Schnellgerichte, aburteilen und ausweisen (als unerwünschter Ausländer). Hat auch die deutsche Staatsbürgerschaft? Aberkennen, alles Weitere, s. o. Wir haben die rechtlichen Möglichkeiten, nur müssen wir schnellstens so reagieren, wie die Verbrecher es nicht erwarten. Mit diesen Wischi waschi Urteilen muss endgültig Schluss sein.",1.0,0,0,0
"Einfach mal los lassen und bereit sein, das wars für mich. Kommt der Knall und darauf warten schon viele, wird es wohl an Scheinheiligen Sprüche nur so hageln. Jeder ist ersetzbar, auch Frau Bundeskanzlerin Merkel...................................",0.0,0,0,0
"Was erwartet man schon von jemanden, dessen Wurzel aus einem Maghreb Staat stammen.",1.0,0,0,0
